cgpa,coding_score,internships_count,attendance_percentage,projects_count,communication_score,branch,selected_skills_count,placed
8.38,175,2,70,1,48,cse,8,1
7.4,180,0,68,1,72,civil,0,0
8.72,868,3,69,3,77,eee,0,1
6.22,582,2,72,1,53,eee,1,1
5.94,502,2,57,5,69,civil,1,0
7.2,715,2,95,4,96,eee,3,0
5.71,383,2,60,1,95,cse,6,0
8.36,523,1,78,2,53,eee,1,0
6.27,896,1,65,3,64,eee,8,1
6.96,936,0,69,0,91,eee,6,1
6.45,730,2,68,5,71,mech,7,1
6.13,912,2,92,3,97,civil,6,1
9.99,291,3,60,0,95,cse,2,0
9.06,582,0,79,3,78,mech,8,1
7.99,161,0,98,4,88,eee,5,1
7.46,614,0,71,4,88,ece,8,0
9.42,455,1,64,2,88,ece,8,0
9.65,150,2,86,0,47,eee,4,1
6.58,730,0,60,5,71,cse,8,0
6.08,636,1,71,4,95,civil,6,0
9.68,923,1,100,2,65,eee,7,0
7.53,403,1,59,2,41,civil,8,1
6.49,222,0,69,0,97,cse,5,1
6.57,835,3,68,4,48,civil,7,1
7.63,566,1,61,0,82,mech,5,0
7.6,896,0,98,5,81,cse,0,1
7.03,261,1,67,1,74,mech,2,0
6.75,405,0,83,4,46,cse,8,0
9.86,921,1,65,3,71,mech,3,0
9.56,318,3,55,3,56,mech,4,1
9.81,719,3,64,1,58,ece,0,1
7.94,915,2,58,0,77,mech,8,0
7.89,208,0,66,0,78,cse,3,0
9.74,733,1,92,4,42,civil,1,1
8.13,685,2,71,1,82,eee,3,1
6.09,810,2,84,2,99,cse,0,1
9.99,252,0,89,1,72,eee,2,0
9.46,400,2,73,1,68,civil,4,0
9.94,819,0,97,4,59,cse,2,1
9.5,910,1,72,2,78,ece,5,1
8.35,420,3,71,0,45,mech,4,1
7.0,283,2,65,5,68,civil,6,0
6.0,857,1,89,0,93,eee,8,1
6.07,465,2,57,2,53,ece,1,0
8.02,566,1,70,1,91,ece,6,1
8.81,490,3,97,5,91,ece,4,1
